"Table 3.9.3. Real Government Consumption Expenditures and Gross Investment, Quantity Indexes"
"[Index numbers, 2012=100]" 
"Bureau of Economic Analysis" 
"Last Revised on: April 29, 2021 - Next Release Date May 27, 2021"
"Line","","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Line","","","","","","","","","","","","","","","","","","","","","",""
"1","        Government consumption expenditures and gross investment",84.890,88.055,91.974,93.949,95.400,96.125,97.658,99.412,101.866,105.429,105.426,102.114,100.000,97.578,96.699,98.445,100.235,101.126,102.958,105.319,106.504
"2","            Consumption expenditures1",85.061,88.043,91.426,93.107,94.544,95.337,96.502,98.045,100.371,104.524,104.638,101.480,100.000,98.104,97.341,98.873,100.605,101.172,102.738,104.578,104.918
"3","            Gross investment2",84.435,88.284,94.239,97.356,98.863,99.317,102.316,104.910,107.881,109.097,108.623,104.687,100.000,95.437,94.077,96.705,98.731,100.951,103.881,108.403,113.071
"4","                Structures",113.212,118.540,124.469,126.203,123.075,117.346,117.803,117.562,118.040,118.908,116.550,109.480,100.000,94.345,93.986,97.937,100.159,100.053,101.813,105.051,109.858
"5","                Equipment",56.499,58.818,66.100,69.132,73.943,79.421,86.496,93.867,103.157,104.667,105.083,101.332,100.000,94.320,91.555,91.381,93.221,99.067,105.546,112.191,115.053
"6","                Intellectual property products",69.568,73.016,77.472,82.008,85.942,89.534,92.201,94.753,96.384,97.933,99.574,100.073,100.000,97.931,96.074,98.709,100.547,103.821,106.093,111.272,116.990
"7","                    Software",60.014,61.159,57.763,59.892,63.976,68.436,72.308,77.258,82.495,83.500,88.687,95.051,100.000,102.876,107.020,109.198,116.375,124.796,137.933,145.418,150.917
"8","                    Research and development",72.087,76.351,83.692,89.052,92.895,96.164,98.408,100.148,100.596,102.316,102.843,101.565,100.000,96.486,92.913,95.674,96.023,97.884,97.280,101.836,107.561
"9","Federal",67.580,70.157,75.362,80.271,83.752,85.430,87.445,89.152,94.733,100.503,104.629,101.910,100.000,94.460,92.017,92.011,92.537,92.814,95.438,99.277,103.577
"10","        Consumption expenditures",69.154,71.734,76.150,81.222,84.528,85.596,87.017,88.051,93.551,99.865,104.064,101.364,100.000,94.798,92.586,92.304,92.850,92.463,94.750,97.737,101.690
"11","        Gross investment",62.910,65.468,72.935,77.352,81.381,85.010,88.976,92.936,98.800,102.715,106.595,103.810,100.000,93.281,90.032,90.997,91.451,94.102,97.946,104.895,110.459
"12","            Structures",96.940,91.386,106.709,112.323,101.192,85.092,88.609,103.341,115.839,135.793,152.986,137.133,100.000,78.335,72.625,73.017,70.126,62.533,69.000,81.563,90.291
"13","            Equipment",46.945,49.278,58.738,62.578,69.212,76.322,83.258,87.971,99.330,103.033,106.491,102.028,100.000,91.552,88.263,87.773,87.657,92.470,99.445,107.490,110.641
"14","            Intellectual property products",70.243,73.791,78.851,83.516,87.395,90.938,92.886,94.859,96.124,97.916,100.224,100.330,100.000,96.512,93.642,95.610,96.918,99.741,101.250,106.646,113.145
"15","                Software",57.800,58.672,54.450,55.253,58.287,62.744,66.322,71.589,77.510,78.954,87.288,94.485,100.000,101.825,105.419,106.278,113.990,122.040,134.443,143.131,147.118
"16","                Research and development",72.774,77.036,84.670,90.356,94.425,97.701,99.216,100.342,100.442,102.314,103.179,101.650,100.000,95.334,91.062,93.265,93.218,94.954,94.278,99.008,105.933
"17","    National defense",67.054,69.259,74.448,80.521,85.086,87.027,88.413,90.931,97.213,102.768,105.791,103.523,100.000,93.296,89.470,87.586,87.150,87.866,90.777,95.825,99.202
"18","        Consumption expenditures",69.727,71.588,75.540,81.674,85.728,86.701,87.374,88.981,94.828,100.838,104.448,102.920,100.000,93.378,90.104,88.045,88.105,88.208,90.320,94.382,97.087
